school_id,short_name,is_high_school
610130,PIRIE,False
400120,ACERO - CLEMENTE,False
609754,CHICAGO MILITARY HS,True
400161,CHICAGO COLLEGIATE,True
400129,YCCS - PROGRESSIVE LEADERSHIP,True
610342,SABIN,False
610384,INFINITY HS,True
610237,BEETHOVEN,False
400030,CICS - WEST BELDEN,False
609866,COONLEY,False
609896,DRUMMOND,False
400151,LEARN - 7,False
610263,DULLES,False
610173,SHERWOOD,False
400119,LEGAL PREP HS,True
610117,PASTEUR,False
609988,HENRY,False
610385,MULTICULTURAL HS,True
609837,CARNEGIE,False
610396,TARKINGTON,False
609769,GRAHAM HS,True
610223,WENTWORTH,False
609985,HEFFERAN,False
610179,SMYSER,False
609967,FINKL,False
610239,DALEY,False
609900,CURTIS,False
609909,EVERETT,False
400087,YOUNG WOMENS HS,True
609795,CLARK ES,False
609729,SCHURZ HS,True
609961,NINOS HEROES,False
610543,SOLORIO HS,True
610547,SOUTH SHORE INTL HS,True
400080,ACERO - TORRES,False
400025,CICS - BUCKTOWN,False
610227,WHITNEY,False
400105,URBAN PREP - BRONZEVILLE HS,True
400125,YCCS - ASPIRA PANTOJA,True
609879,DAWES,False
610148,CHAVEZ,False
610572,CAMELOT - SAFE ES,False
400102,URBAN PREP - WEST HS,True
609809,BRENTANO,False
610566,BRIDGESCAPE - LAWNDALE HS,True
610153,RYDER,False
609716,KELVYN PARK HS,True
400039,ERIE,False
609939,GILLESPIE,False
610504,THOMAS,False
609730,SENN HS,True
609748,YORK HS,True
609815,BOUCHET,False
400035,CHICAGO MATH & SCIENCE HS,True
609713,HYDE PARK HS,True
609928,FULLER,False
609907,ERICSON,False
610116,PARKSIDE,False
609679,PROSSER HS,True
610390,RICKOVER MILITARY HS,True
610282,MCNAIR,False
610234,YATES,False
610067,MCKAY,False
609725,MORGAN PARK HS,True
610198,TAYLOR,False
609694,HANCOCK HS,True
609918,FIELD,False
610017,SAUCEDO,False
400172,ASPIRA - BUSINESS & FINANCE HS,True
609880,DECATUR,False
400086,URBAN PREP - ENGLEWOOD HS,True
610269,MCCUTCHEON,False
610099,NORWOOD PARK,False
609676,DUNBAR HS,True
610529,OGDEN HS,True
400055,NOBLE - RAUNER HS,True
609797,BEIDLER,False
400114,ACERO - SANTIAGO,False
609768,HOPE HS,True
610015,JUNGMAN,False
609753,CHICAGO AGRICULTURE HS,True
609812,BROWN W,False
610334,RABY HS,True
610206,TWAIN,False
400045,NKRUMAH,False
610090,MURRAY,False
400017,ASPIRA - HAUGAN,False
609972,HAUGAN,False
609751,KING HS,True
400081,ACERO - DE LAS CASAS,False
609744,NORTHSIDE LEARNING HS,True
609993,LARA,False
400031,CICS - WRIGHTWOOD,False
610207,VANDERPOEL,False
610010,JAHN,False
610312,MCDOWELL,False
610019,KERSHAW,False
610518,AUSTIN CCA HS,True
400135,YCCS - LATINO YOUTH,True
400047,LEARN - CAMPBELL,False
609990,SOUTH LOOP,False
610087,BLAIR,False
610392,WORLD LANGUAGE HS,True
400040,FRAZIER CHARTER,False
609959,HAINES,False
400144,YCCS - WESTSIDE HOLISTIC,True
609855,CHRISTOPHER,False
610004,CULLEN,False
400013,ASPIRA - EARLY COLLEGE HS,True
400111,LEARN - PERKINS,False
400036,CHICAGO VIRTUAL,True
609974,HAWTHORNE,False
610369,JACKSON M,False
400071,PROVIDENCE ENGLEWOOD,False
400048,LEARN - EXCEL,False
609782,AUDUBON,False
610212,ALBANY PARK,False
400062,PERSPECTIVES - TECH HS,True
610039,VON LINNE,False
610202,TILTON,False
610132,POE,False
400167,HORIZON - SOUTHWEST,True
610191,STONE,False
610055,FARADAY,False
610184,SPRY ES,False
609951,ARIEL,False
400130,YCCS - YOUTH DEVELOPMENT,True
609895,TURNER-DREW,False
610520,LASALLE II,False
609680,PAYTON HS,True
609820,BURLEY,False
610136,PRESCOTT,False
400164,INSTITUTO - LOZANO HS,True
